caso,id_correcto,posicion,id_resultado,score,juicio,quien,fecha
cr7 tirado,cr7 tirado,1,AIM-P171-015,0.6495,Acierto,Andres y Samir,2026-09-21 14:18:16
cr7 tirado,cr7 tirado,2,AIM-P040-028,0.6386,Sirve,Andres y Samir,2026-09-21 14:18:17
cr7 tirado,cr7 tirado,3,AIM-P077-017,0.6262,No sirve,Andres y Samir,2026-09-21 14:18:18
cr7 tirado,cr7 tirado,4,AIM-P175-001,0.6244,No sirve,Andres y Samir,2026-09-21 14:18:20
cr7 tirado,cr7 tirado,5,AIM-P074-007,0.6236,No sirve,Andres y Samir,2026-09-21 14:18:21
hermanoSport,hermanoSport,1,AIM-P028-002,0.8403,No sirve,Andres y Samir,2026-09-21 14:18:24
hermanoSport,hermanoSport,2,AIM-P005-033,0.8209,Sirve,Andres y Samir,2026-09-21 14:18:25
hermanoSport,hermanoSport,3,AIM-P009-015,0.7984,Sirve,Andres y Samir,2026-09-21 14:18:26
hermanoSport,hermanoSport,4,AIM-P212-047,0.7955,No sirve,Andres y Samir,2026-09-21 14:18:26
hermanoSport,hermanoSport,5,AIM-P104-035,0.7942,No sirve,Andres y Samir,2026-09-21 14:18:27
messi,messi,1,AIM-P086-053,0.6805,Sirve,Andres y Samir,2026-09-21 14:18:30
messi,messi,2,AIM-P238-017,0.6696,Sirve,Andres y Samir,2026-09-21 14:18:32
messi,messi,3,AIM-P187-060,0.6666,No sirve,Andres y Samir,2026-09-21 14:18:34
messi,messi,4,AIM-P121-019,0.664,Sirve,Andres y Samir,2026-09-21 14:18:34
messi,messi,5,AIM-P042-050,0.6595,Sirve,Andres y Samir,2026-09-21 14:18:35
